date,AAPL,AMZN,ASML,DXCM,INTC,MSFT,NVDA,NFLX,PEP,SGEN
2008/11/4,3.384529018,2.9225,28.07910687,1.1,10.60982993,17.52353831,2.061586289,3.432857074,38.86952757,11.04
2008/11/5,3.150030161,2.599,25.85848474,1.045,9.912161247,16.44367726,1.953685893,3.284285649,37.98340361,10.15
2008/11/6,3.021955363,2.361,23.44403157,0.95,9.128929382,15.54999915,1.749363866,3.068571367,36.544285,10.02
2008/11/7,2.995730523,2.4605,24.6959575,0.9425,9.629144691,16.01173284,2.001896708,3.12285708,36.8840769,10.6
2008/11/10,2.923764684,2.423,24.45748449,0.895,9.44485484,15.86278648,1.873334534,3.075714224,36.38438294,10.33
2008/11/11,2.889916344,2.315,23.32479507,0.6875,9.168420064,15.78831331,1.790687422,3.145714223,36.69752449,10.08
2008/11/12,2.748119246,2.078,21.92379482,0.5375,8.898567069,15.11805472,1.685082779,2.957142798,35.37833243,9.15
2008/11/13,2.940841324,2.2465,23.80174109,0.5125,9.497509083,15.8255499,1.822827966,3.47999993,37.03731638,9.64
2008/11/14,2.751778526,2.0875,22.46030171,0.52,8.766931461,14.9393191,1.646054977,3.147142794,35.65816105,9.96
2008/11/17,2.687741127,1.9845,21.59592311,0.4975,8.556314489,14.3882176,1.61161868,3.035714225,35.29171881,10.21
2008/11/18,2.741715506,1.922,21.6853218,0.46,8.628714073,14.71062166,1.558816359,3.064285653,35.40498277,10.04
2008/11/19,2.631327227,1.792,19.76273356,0.44,8.22064369,13.71341846,1.430254185,2.935714227,34.71207381,9.38
2008/11/20,2.45446203,1.7515,18.86851715,0.3475,8.0495174,13.14358806,1.354494332,2.674285661,33.50614572,8.6
2008/11/21,2.518194489,1.8935,20.53771347,0.385,8.628714073,14.75560828,1.464690481,2.855714229,36.37105776,8.1
2008/11/24,2.834417265,2.125,22.35598411,0.4875,8.92489419,15.51288289,1.561112112,3.172857079,37.08395448,8.41
2008/11/25,2.768855166,2.1095,22.19210564,0.4925,8.641877634,14.9880391,1.604731421,3.089999938,35.97796518,8.1
2008/11/26,2.896929964,2.198,23.36943703,0.5,9.194747186,15.36292752,1.747068113,3.267142792,36.59758569,8.71
2008/11/28,2.825878945,2.135,22.84784904,0.5,9.082856919,15.16048777,1.71492757,3.282857077,37.77686344,8.66
2008/12/1,2.711831386,2.0235,20.49295675,0.4875,8.266716153,13.95334705,1.567999371,3.148571366,35.73811208,7.67
2008/12/2,2.819780145,2.0595,21.133896,0.5,8.74060434,14.35822655,1.655237989,3.315714219,36.27778156,7.97
2008/12/3,2.924374564,2.2605,21.50652443,0.4975,8.990711994,14.89806588,1.740180854,3.401428503,36.3147142,8.05
2008/12/4,2.787456505,2.366,20.95498386,0.7475,8.404933541,14.32823547,1.625393199,3.309999934,35.13958939,7.75
