,portfolio,market
2012-01-17,1.6177629782746767,1.5173233078679456
2012-01-18,1.652387265291377,1.5463684057818978
2012-01-19,1.6701030371316052,1.564814819557653
2012-01-20,1.6684979051476656,1.566946698959857
2012-01-23,1.6525756289579214,1.5629501722181904
2012-01-24,1.649401164406398,1.5651084930519454
2012-01-25,1.688567912507155,1.5843697339051344
2012-01-26,1.752202991472488,1.6180808549683823
2012-01-27,1.7868290655807604,1.6394641098094962
2012-01-30,1.786330821172128,1.6351676795280248
2012-01-31,1.7743497662889052,1.629018440741422
2012-02-01,1.8004623097640702,1.6368448306444117
2012-02-02,1.8113731826209398,1.6504896580022437
2012-02-03,1.8321494556672118,1.6741329214288005
2012-02-06,1.8473325545945067,1.674713169810665
2012-02-07,1.8410214144084034,1.6730428608711956
2012-02-08,1.8254308495237381,1.6736283288096598
2012-02-09,1.825759883593147,1.673820349120963
2012-02-10,1.8082200436942464,1.6601764685271512
2012-02-13,1.807782326056132,1.6664823677316567
2012-02-14,1.8032333972855394,1.667321714857209
2012-02-15,1.781057276097729,1.648313149782578
2012-02-16,1.8242148929826247,1.6744523952625443
2012-02-17,1.8097057389515139,1.6669696714321378
2012-02-21,1.8056285621586632,1.6628322324738258
2012-02-22,1.782754791794274,1.645729926416834
2012-02-23,1.7942460650867058,1.6515222624874573
2012-02-24,1.7777628197309099,1.6427370657982578
2012-02-27,1.7794573510479474,1.6403565671277998
2012-02-28,1.8178068327263854,1.6700085107503528
2012-02-29,1.8021363199540255,1.6480400213998194
2012-03-01,1.8065031216487633,1.6508639218780279
2012-03-02,1.7986487343944138,1.6472647265778868
2012-03-05,1.7787951744713213,1.6304990938416226
2012-03-06,1.745915966001249,1.6127525862573986
2012-03-07,1.751337067976495,1.6231548861302862
2012-03-08,1.7780677811912684,1.6420900840234474
2012-03-09,1.778591395429619,1.6417521078498887
2012-03-12,1.7773551796899107,1.6369898371304503
2012-03-13,1.8095061359742304,1.6625232765646607
2012-03-14,1.8210310073309999,1.6610164135775631
2012-03-15,1.8574140252771558,1.6874007228593515
2012-03-16,1.8597244545286682,1.6888153597343496
2012-03-19,1.8851505836210782,1.7032356502231427
2012-03-20,1.8769734500308917,1.702987327617437
2012-03-21,1.8899032783129273,1.7094312728842256
2012-03-22,1.8734013809828436,1.700182785944101
2012-03-23,1.875706636514625,1.704364708272306
2012-03-26,1.9245045780817767,1.7421753651985057
2012-03-27,1.9278021387968332,1.747115985586878
2012-03-28,1.9029382130829517,1.7326075104702383
2012-03-29,1.889319383829756,1.7337311163344546
2012-03-30,1.8893566025809831,1.7351540476625853
2012-04-02,1.9115801169176379,1.7455769930233103
2012-04-03,1.9110929560856251,1.7400594054384466
2012-04-04,1.8797104400763427,1.7088240658608556
2012-04-05,1.8735613296978033,1.7060520438848557
2012-04-09,1.8371521905951684,1.6824918456716822
2012-04-10,1.7829961373319647,1.644037696413007
2012-04-11,1.7870349924297961,1.6507200964380033
2012-04-12,1.814942992062035,1.6796421506474561
2012-04-13,1.7854705875791848,1.6547951058815695
2012-04-16,1.7680358172422292,1.6455371240328815
2012-04-17,1.817907547793026,1.6740993575964496
2012-04-18,1.806258405229555,1.6655778918037998
2012-04-19,1.8087221387360952,1.6654754680147135
2012-04-20,1.8175515104031064,1.6641496526029909
2012-04-23,1.8011113331790751,1.6476255580631296
2012-04-24,1.751458115581972,1.6195139029670653
2012-04-25,1.7891648070240174,1.6512509328070015
2012-04-26,1.776329068746374,1.654279709156589
2012-04-27,1.775768677369286,1.6759810155660173
2012-04-30,1.746646541408426,1.6643435137459506
2012-05-01,1.7523733673388122,1.6725426569044513
2012-05-02,1.7669816499276445,1.6749628909831409
2012-05-03,1.73447740949328,1.6494361977174348
2012-05-04,1.699685591298084,1.6165308407030443
2012-05-07,1.7062291281225603,1.6242590456749966
2012-05-08,1.7051619397542428,1.6190958661885828
2012-05-09,1.7102874441452727,1.618622311359041
2012-05-10,1.7140921769708315,1.6218192093087187
2012-05-11,1.7392159666831406,1.6488325330699842
2012-05-14,1.7253420172046126,1.630388138552257
2012-05-15,1.7377702022522479,1.6365048422162936
2012-05-16,1.7287993347935136,1.622883388468518
2012-05-17,1.7067343985653691,1.6015198530835577
2012-05-18,1.6882930654760209,1.5809143684120952
2012-05-21,1.74266404286695,1.6189723364245099
2012-05-22,1.7076851855774429,1.598398656162602
2012-05-23,1.7278878217816307,1.609180854411198
2012-05-24,1.7205998258668644,1.600931950205357
2012-05-25,1.7251370622911597,1.6049512996583173
2012-05-29,1.7356058707469468,1.6204296653867216
2012-05-30,1.7078049655849432,1.5974348363448025
2012-05-31,1.6866303446311592,1.5858011850507316
2012-06-01,1.6626941073103991,1.5549034855710753
2012-06-04,1.6826899198993368,1.5664528464119511
2012-06-05,1.6935250133520985,1.5810363560503884
2012-06-06,1.7310205137569477,1.6177081948461791
2012-06-07,1.7308589489356725,1.611557998482634
2012-06-08,1.7823926294351489,1.6448958515552794
2012-06-11,1.7476417676617788,1.6245957438379577
2012-06-12,1.7788961034674116,1.6504401255836518
2012-06-13,1.7860529495476936,1.651563143912205
2012-06-14,1.8063090029058584,1.6600534507939941
2012-06-15,1.8419288113334038,1.6887018189873504
2012-06-18,1.8523397767773828,1.7004247204226355
2012-06-19,1.878732931835818,1.7266121128164056
2012-06-20,1.8688105836000157,1.7233602459436093
2012-06-21,1.829714715553116,1.6895434530614295
2012-06-22,1.8635314124316193,1.7085437530065068
2012-06-25,1.8300481817910053,1.6764698805282172
2012-06-26,1.8304043449901997,1.6811031655452469
2012-06-27,1.852664634232517,1.7010427582689107
2012-06-28,1.8437101091438588,1.6912544610937539
2012-06-29,1.8755885449277667,1.7323340757806962
2012-07-02,1.8887228710948778,1.7378226367251788
2012-07-03,1.9105450301018714,1.75552011340942
2012-07-05,1.9531978250685265,1.769175432191961
2012-07-06,1.940360860858987,1.7486638265102337
2012-07-09,1.9542042330551965,1.750307649479899
2012-07-10,1.9335303791165064,1.7412570198243515
2012-07-11,1.9281660448156224,1.73000846681923
2012-07-12,1.924765909963283,1.7173833370704776
2012-07-13,1.940580384782993,1.7345527987249427
2012-07-16,1.9379662939034052,1.7308251460149977
2012-07-17,1.949689824608369,1.7374749917406482
2012-07-18,1.953769226798599,1.7632462438406815
2012-07-19,1.9707502023082963,1.7821644428895402
2012-07-20,1.9291718457252114,1.7542144909199804
2012-07-23,1.8940853704034564,1.73592642183395
2012-07-24,1.8798980555751144,1.7208199574229956
2012-07-25,1.7862924373420461,1.67371370287934
2012-07-26,1.794756800635585,1.6902342968239583
2012-07-27,1.8367888264439043,1.7354180457364317
2012-07-30,1.820055327240739,1.722574081029563
2012-07-31,1.8048937470361544,1.7115663608265852
2012-08-01,1.782938946967403,1.6964507586548494
2012-08-02,1.773079909918909,1.689115932617057
2012-08-03,1.7957579888268707,1.7149782930716284
2012-08-06,1.8200744683957413,1.725563860390291
2012-08-07,1.826490483579389,1.7379715242025746
2012-08-08,1.8217658577031064,1.7346264335924686
2012-08-09,1.840048378548034,1.7500391396909203
2012-08-10,1.8461902859689747,1.7524646771809302
2012-08-13,1.8544152177235915,1.75604799720319
2012-08-14,1.873306832148412,1.7635337285106805
2012-08-15,1.8996269843317934,1.7778985385062913
2012-08-16,1.9191363583855485,1.7965236396491127
2012-08-17,1.926369199669759,1.7978614493227114
2012-08-20,1.9360302119168136,1.8013232844001326
2012-08-21,1.9304238851323694,1.7981964511571287
2012-08-22,1.9345287572779546,1.8017390051479922
2012-08-23,1.9208283767093524,1.7818549788854328
2012-08-24,1.9269027438699426,1.7909580363262763
2012-08-27,1.9289243597287045,1.7882376149380688
2012-08-28,1.9336662569192653,1.7876171975852453
2012-08-29,1.938472925514664,1.7909260318245541
2012-08-30,1.9087602564813881,1.7663664928864193
2012-08-31,1.9259379954494498,1.782527661656791
2012-09-04,1.9328216601272095,1.772521604836267
2012-09-05,1.9340118277349683,1.772225960308605
2012-09-06,1.9767325205683495,1.8117134854203363
2012-09-07,1.9596209971026801,1.7953909077904207
2012-09-10,1.926145780158993,1.7656151150693506
2012-09-11,1.931437507335506,1.7702679345431755
2012-09-12,1.9271913748914764,1.7690582732798479
2012-09-13,1.9472426393729227,1.7858057196647232
2012-09-14,1.9546163854339682,1.7949109997367003
2012-09-17,1.9380239908504218,1.7802627129707316
2012-09-18,1.9489590167655622,1.7850619657862576
2012-09-19,1.9585769147197805,1.7868012927879866
2012-09-20,1.9860077593074963,1.7988795577170902
2012-09-21,1.9809975343387953,1.7928815519963268
2012-09-24,1.9622486889440212,1.7748162558776233
2012-09-25,1.9213823282938882,1.7515169476273504
2012-09-26,1.9233602840372024,1.7464834524634862
2012-09-27,1.9397516803348966,1.7680985608980726
2012-09-28,1.926895447492568,1.7563886176388224
2012-10-01,1.924523345487856,1.750900009231001
2012-10-02,1.9326361585194511,1.7569434790162093
2012-10-03,1.9719144551765877,1.7791678230558639
2012-10-04,1.9930255413164997,1.8010489436424646
2012-10-05,1.982097182375545,1.7935301370752965
2012-10-08,1.9949860212684447,1.7942419132448102
2012-10-09,1.9254597406652951,1.7450787072741187
2012-10-10,1.9226795567724215,1.7336447850803822
2012-10-11,1.906180440321249,1.724177460661907
2012-10-12,1.9024146531745514,1.7181807129299758
2012-10-15,1.9155214624571313,1.7290791990483867
2012-10-16,1.9616303287700625,1.7629806657483742
2012-10-17,1.9769917880992465,1.75711773957592
2012-10-18,1.9623273564399926,1.7490004976370284
2012-10-19,1.9042605898735254,1.7080173258076066
2012-10-22,1.9155653248051996,1.7124799705643121
2012-10-23,1.8983133708284239,1.7087078405938676
2012-10-24,1.8559093565719356,1.684113047806645
2012-10-25,1.8655102732613784,1.6881818175563894
2012-10-26,1.903830155238726,1.7179044969249122
2012-10-31,1.9389311174646404,1.7301787735863707
2012-11-01,1.946983315712215,1.7495510348810348
2012-11-02,1.9138689238704325,1.7313535768282111
2012-11-05,1.9344705713328505,1.748679750847295
2012-11-06,1.9318564936594893,1.7512743917852653
2012-11-07,1.9000632106758295,1.716333002057992
2012-11-08,1.863177137023373,1.692535843249784
2012-11-09,1.874346906965974,1.6926897272382408
2012-11-12,1.877815077951314,1.6904899619165286
2012-11-13,1.8649542740378515,1.678255673598601
2012-11-14,1.8465564581648355,1.661543110430973
2012-11-15,1.8488807546759913,1.6579211464806027
2012-11-16,1.85859939387719,1.6681702052255347
2012-11-19,1.897882433427159,1.6964888868306665
2012-11-20,1.9036003503914063,1.6941915728687318
2012-11-21,1.9075225231945014,1.700532857238905
2012-11-23,1.9248481555995265,1.7211047140464921
2012-11-26,1.9275663240193042,1.729906815865521
2012-11-27,1.9209001565213477,1.7295892117336336
2012-11-28,1.9188400902436737,1.7351397825492496
2012-11-29,1.9291828753388385,1.7059705021547107
2012-11-30,1.9307096055971051,1.706880652624591
2012-12-03,1.9230317106460737,1.6990320101788616
2012-12-04,1.9768161496014962,1.731450914161628
2012-12-05,1.93483482545921,1.7115258079898572
2012-12-06,1.951469586899236,1.7227861362470032
2012-12-07,1.936314425293966,1.717546531854341
2012-12-10,1.9268596825077806,1.714480833636815
2012-12-11,1.9528311834389864,1.737645046198937
2012-12-12,1.9615121149277084,1.7397282544974886
2012-12-13,1.9411678758337003,1.7267205811286177
2012-12-14,1.9175336265881466,1.717381402815021
2012-12-17,1.9368982244027282,1.7293565417613563
2012-12-18,1.9580410254410598,1.7479993886624756
2012-12-19,1.9484653989526153,1.7443652185573004
2012-12-20,1.9484185181577194,1.7471614114807281
2012-12-21,1.923588880466463,1.7235836324086198
2012-12-24,1.9121016578706047,1.716338240833588
2012-12-26,1.8992023596612637,1.7033530194680617
2012-12-27,1.903128064273537,1.704339964306485
2012-12-28,1.8832946434068216,1.688747366913043
2012-12-31,1.923819870407235,1.7201859608109673
2013-01-02,1.9666613890921971,1.7625340351875334
2013-01-03,1.9819050807574972,1.767034676006135
2013-01-04,1.976394876382128,1.7672234360516046
2013-01-07,2.0061245071180673,1.78093245504448
2013-01-08,2.0054781715757306,1.7732767903593154
2013-01-09,2.010483112659896,1.775732513229544
2013-01-10,2.030570548682462,1.7906733362825997
2013-01-11,2.038565822203878,1.7992317112723197
2013-01-14,2.042026047162788,1.8011406055706363
2013-01-15,2.051268659133145,1.7978911888341025
2013-01-16,2.044029217924128,1.7977863488793195
2013-01-17,2.04675441921141,1.8180166058148355
2013-01-18,2.061960625831131,1.8168703649906444
2013-01-22,2.066112659261841,1.8180514167075437
2013-01-23,2.0910644844841872,1.8269544619810454
2013-01-24,2.1965080640408607,1.8847907836286462
2013-01-25,2.275779778107677,1.938526586145254
2013-01-28,2.261194489194846,1.9338282598037104
2013-01-29,2.286658157205664,1.9334089212218113
2013-01-30,2.2684042219348446,1.9337135990522687
2013-01-31,2.2587241341508735,1.920660758877236
2013-02-01,2.2704076982371446,1.9372298746062913
2013-02-04,2.2573169751461846,1.9191564382300408
2013-02-05,2.2845405072005196,1.9407778201325303
2013-02-06,2.306388427673172,1.9436289962723345
2013-02-07,2.2985520791808587,1.9348313105476342
2013-02-08,2.3125206184294522,1.9439696879880368
2013-02-11,2.2961736254663396,1.9358383983202927
2013-02-12,2.281276938626037,1.9303419830814617
2013-02-13,2.276028041394015,1.9332377742433697
2013-02-14,2.2862055099883047,1.9441537178478712
2013-02-15,2.2814997566323902,1.9331136267580604
2013-02-19,2.3170460507354593,1.953093158976404
2013-02-20,2.274964150079791,1.921770657443022
2013-02-21,2.2518987046866927,1.9018153787837029
2013-02-22,2.29383204788056,1.928004918723184
2013-02-25,2.2590747115008436,1.8990054677247352
2013-02-26,2.273994693414003,1.9139851482758896
2013-02-27,2.2881023656982404,1.9298520532971069
2013-02-28,2.2976199338836727,1.9333505091873053
2013-03-01,2.303663068551926,1.9406702285476647
2013-03-04,2.296260939336363,1.941931943041652
2013-03-05,2.337598762328133,1.9697358990134668
2013-03-06,2.322814083867628,1.9630381709202211
2013-03-07,2.3342555577652377,1.9661307700746204
2013-03-08,2.35679936742171,1.9722003907535015
2013-03-11,2.3452037510187074,1.9648600980147815
2013-03-12,2.384627229257123,1.9836063683518699
2013-03-13,2.409610166683442,1.9963504852473382
2013-03-14,2.413868918293376,1.9976588289364567
2013-03-15,2.4113959199852246,1.9875679012692173
2013-03-18,2.4167953867422614,1.9822951429262243
2013-03-19,2.4075213598074123,1.9745608564761825
2013-03-20,2.428969880932523,1.9881686835828756
2013-03-21,2.4229697800092214,1.9767634071236049
2013-03-22,2.4707483777826624,2.002127402140318
2013-03-25,2.466248104362802,1.9973222323588156
2013-03-26,2.497753657692844,2.0163754983212807
2013-03-27,2.4900627909064617,2.0172952941539686
2013-03-28,2.473434123573149,2.018253966507615
2013-04-01,2.447792197524685,1.9915781852263088
2013-04-02,2.443718780902526,1.9886679382356292
2013-04-03,2.402269574089096,1.9600414724375368
2013-04-04,2.3984137786685356,1.9604574712863463
2013-04-05,2.3832535107142374,1.9542922115115164
2013-04-08,2.3883534202900494,1.9607392020866083
2013-04-09,2.415461266107051,1.9829396113808935
2013-04-10,2.444790397828164,2.0098831470776064
2013-04-11,2.4468983855996806,2.011629269075775
2013-04-12,2.4416022884639452,2.0141617138241465
2013-04-15,2.396395703224443,1.977060489733166
2013-04-16,2.429502599555949,2.0050261715895714
2013-04-17,2.3675504280684456,1.9761812375122598
2013-04-18,2.3396589513753696,1.9621432779842802
2013-04-19,2.388331957579393,1.9885116154313047
2013-04-22,2.4490527722093423,2.020283828855852
2013-04-23,2.557026480282903,2.0846258831411504
2013-04-24,2.5472068569125392,2.0916879300682165
2013-04-25,2.5605824296755095,2.1043948111482185
2013-04-26,2.5722414346939146,2.09237083016515
2013-04-29,2.6093127986486397,2.1123997716381635
2013-04-30,2.6354234618506225,2.1309389614734897
